@relation Phishing.Detection

@attribute protocol {http,https,other}
@attribute FrequentTermsvsRegistrant integer
@attribute NOofDomainNamecandidatesinHostnameandContent integer
@attribute NOofDomainNamecandidatesinHostname integer
@attribute NumericHostname {true,false}
@attribute TitlevsRegistrant integer
@attribute TitlevsDomainNamecandidatesinHostname integer
@attribute FrequentTermsvsHostDomain integer
@attribute CopyrightvsRegistrant integer
@attribute DomainNamecandidatesinAnchorsvsRegistrant integer
@attribute phising {true,false}
@data 
http,-1.0,12,12,false,-1.0,40.0,16.0,-1.0,-1.0,false
http,11.0,26,26,false,67.0,53.0,4.0,11.0,19.0,false
https,6.0,1,1,false,61.0,65.0,10.0,5.0,17.0,false
http,12.0,1,1,false,21.0,13.0,13.0,-1.0,30.0,false
http,5.0,10,10,false,59.0,66.0,10.0,13.0,11.0,false
http,5.0,18,18,false,56.0,61.0,10.0,5.0,10.0,false
http,16.0,1,1,false,38.0,35.0,16.0,-1.0,32.0,false
http,18.0,92,92,false,61.0,83.0,9.0,19.0,26.0,false
http,18.0,0,0,false,22.0,15.0,11.0,18.0,28.0,false
https,5.0,3,3,false,74.0,77.0,10.0,5.0,15.0,false
http,18.0,277,277,false,93.0,70.0,13.0,-1.0,26.0,false
http,7.0,65,65,false,77.0,68.0,12.0,5.0,16.0,false
https,7.0,0,0,false,20.0,28.0,24.0,-1.0,15.0,false
http,8.0,10,10,false,75.0,69.0,13.0,8.0,14.0,false
https,6.0,10,10,false,60.0,64.0,9.0,6.0,16.0,false
http,5.0,16,16,false,54.0,59.0,10.0,-1.0,13.0,false
https,14.0,18,18,false,85.0,75.0,10.0,16.0,24.0,false
http,18.0,142,142,false,21.0,14.0,11.0,-1.0,20.0,false
http,16.0,2,2,false,58.0,53.0,11.0,-1.0,25.0,false
http,22.0,124,124,false,27.0,29.0,12.0,30.0,34.0,false
http,11.0,2,2,false,42.0,34.0,20.0,14.0,15.0,false
http,10.0,179,179,false,200.0,206.0,18.0,11.0,19.0,false
http,6.0,113,113,false,28.0,24.0,10.0,-1.0,16.0,false
http,5.0,0,0,false,23.0,28.0,10.0,-1.0,16.0,false
https,16.0,226,226,false,86.0,86.0,12.0,16.0,21.0,false
http,13.0,1,1,false,50.0,38.0,17.0,15.0,22.0,false
