@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
82,158,1,115,81,0.586735,0.993711,0.578755,0.993711,0.421245,0.731481,0.769014,1.292188,0.000214
83,158,1,114,82,0.581633,0.993711,0.580882,0.993711,0.419118,0.733179,0.766197,1.296939,0.000226
84,158,1,113,83,0.576531,0.993711,0.583026,0.993711,0.416974,0.734884,0.76338,1.301724,0.000228
85,158,1,112,84,0.571429,0.993711,0.585185,0.993711,0.414815,0.736597,0.760563,1.306546,0.000235
86,158,1,111,85,0.566327,0.993711,0.587361,0.993711,0.412639,0.738318,0.757746,1.311403,0.000239
87,158,1,110,86,0.561224,0.993711,0.589552,0.993711,0.410448,0.740047,0.75493,1.316296,0.000255
88,158,1,109,87,0.556122,0.993711,0.59176,0.993711,0.40824,0.741784,0.752113,1.321226,0.00027
89,158,1,108,88,0.55102,0.993711,0.593985,0.993711,0.406015,0.743529,0.749296,1.326193,0.000272
90,158,1,107,89,0.545918,0.993711,0.596226,0.993711,0.403774,0.745283,0.746479,1.331197,0.000276
91,158,1,106,90,0.540816,0.993711,0.598485,0.993711,0.401515,0.747045,0.743662,1.33624,0.000281
92,158,1,105,91,0.535714,0.993711,0.60076,0.993711,0.39924,0.748815,0.740845,1.341321,0.000307
93,158,1,104,92,0.530612,0.993711,0.603053,0.993711,0.396947,0.750594,0.738028,1.34644,0.000314
94,158,1,103,93,0.52551,0.993711,0.605364,0.993711,0.394636,0.752381,0.735211,1.351599,0.000389
95,158,1,102,94,0.520408,0.993711,0.607692,0.993711,0.392308,0.754177,0.732394,1.356797,0.000443
96,158,1,101,95,0.515306,0.993711,0.610039,0.993711,0.389961,0.755981,0.729577,1.362036,0.000517
97,158,1,100,96,0.510204,0.993711,0.612403,0.993711,0.387597,0.757794,0.726761,1.367315,0.000538
98,158,1,99,97,0.505102,0.993711,0.614786,0.993711,0.385214,0.759615,0.723944,1.372635,0.000551
99,158,1,98,98,0.5,0.993711,0.617188,0.993711,0.382813,0.761446,0.721127,1.377997,0.000616
100,158,1,97,99,0.494898,0.993711,0.619608,0.993711,0.380392,0.763285,0.71831,1.383401,0.000948
101,158,1,96,100,0.489796,0.993711,0.622047,0.993711,0.377953,0.765133,0.715493,1.388848,0.001052
102,158,1,95,101,0.484694,0.993711,0.624506,0.993711,0.375494,0.76699,0.712676,1.394337,0.001095
103,158,1,94,102,0.479592,0.993711,0.626984,0.993711,0.373016,0.768856,0.709859,1.39987,0.00113
104,158,1,93,103,0.47449,0.993711,0.629482,0.993711,0.370518,0.770732,0.707042,1.405447,0.001212
105,158,1,92,104,0.469388,0.993711,0.632,0.993711,0.368,0.772616,0.704225,1.411069,0.001277
106,158,1,91,105,0.464286,0.993711,0.634538,0.993711,0.365462,0.77451,0.701408,1.416736,0.001287
107,158,1,90,106,0.459184,0.993711,0.637097,0.993711,0.362903,0.776413,0.698592,1.422449,0.001288
108,158,1,89,107,0.454082,0.993711,0.639676,0.993711,0.360324,0.778325,0.695775,1.428208,0.001402
109,158,1,88,108,0.44898,0.993711,0.642276,0.993711,0.357724,0.780247,0.692958,1.434013,0.001452
110,158,1,87,109,0.443878,0.993711,0.644898,0.993711,0.355102,0.782178,0.690141,1.439867,0.001497
111,158,1,86,110,0.438776,0.993711,0.647541,0.993711,0.352459,0.784119,0.687324,1.445768,0.001541
112,158,1,85,111,0.433673,0.993711,0.650206,0.993711,0.349794,0.78607,0.684507,1.451717,0.001552
113,158,1,84,112,0.428571,0.993711,0.652893,0.993711,0.347107,0.78803,0.68169,1.457716,0.00156
114,158,1,83,113,0.423469,0.993711,0.655602,0.993711,0.344398,0.79,0.678873,1.463765,0.001615
115,158,1,82,114,0.418367,0.993711,0.658333,0.993711,0.341667,0.79198,0.676056,1.469864,0.001649
116,158,1,81,115,0.413265,0.993711,0.661088,0.993711,0.338912,0.79397,0.673239,1.476014,0.001673
117,158,1,80,116,0.408163,0.993711,0.663866,0.993711,0.336134,0.79597,0.670423,1.482216,0.001698
118,158,1,79,117,0.403061,0.993711,0.666667,0.993711,0.333333,0.79798,0.667606,1.48847,0.001928
119,158,1,78,118,0.397959,0.993711,0.669492,0.993711,0.330508,0.8,0.664789,1.494777,0.002099
120,158,1,77,119,0.392857,0.993711,0.67234,0.993711,0.32766,0.80203,0.661972,1.501137,0.002104
121,158,1,76,120,0.387755,0.993711,0.675214,0.993711,0.324786,0.804071,0.659155,1.507553,0.002321
122,158,1,75,121,0.382653,0.993711,0.678112,0.993711,0.321888,0.806122,0.656338,1.514023,0.002436
123,158,1,74,122,0.377551,0.993711,0.681034,0.993711,0.318966,0.808184,0.653521,1.520549,0.002447
124,158,1,73,123,0.372449,0.993711,0.683983,0.993711,0.316017,0.810256,0.650704,1.527131,0.002543
125,158,1,72,124,0.367347,0.993711,0.686957,0.993711,0.313043,0.812339,0.647887,1.533771,0.002594
126,158,1,71,125,0.362245,0.993711,0.689956,0.993711,0.310044,0.814433,0.64507,1.540469,0.002887
127,158,1,70,126,0.357143,0.993711,0.692982,0.993711,0.307018,0.816537,0.642254,1.547225,0.002898
128,158,1,69,127,0.352041,0.993711,0.696035,0.993711,0.303965,0.818653,0.639437,1.554041,0.002901
129,158,1,68,128,0.346939,0.993711,0.699115,0.993711,0.300885,0.820779,0.63662,1.560917,0.003189
130,158,1,67,129,0.341837,0.993711,0.702222,0.993711,0.297778,0.822917,0.633803,1.567855,0.003275
131,158,1,66,130,0.336735,0.993711,0.705357,0.993711,0.294643,0.825065,0.630986,1.574854,0.003629
132,158,1,65,131,0.331633,0.993711,0.70852,0.993711,0.29148,0.827225,0.628169,1.581916,0.003678
133,158,1,64,132,0.326531,0.993711,0.711712,0.993711,0.288288,0.829396,0.625352,1.589042,0.003761
134,158,1,63,133,0.321429,0.993711,0.714932,0.993711,0.285068,0.831579,0.622535,1.596232,0.003956
135,158,1,61,135,0.311224,0.993711,0.721461,0.993711,0.278539,0.835979,0.616901,1.61081,0.004197
136,158,1,60,136,0.306122,0.993711,0.724771,0.993711,0.275229,0.838196,0.614085,1.618199,0.004356
137,158,1,59,137,0.30102,0.993711,0.728111,0.993711,0.271889,0.840426,0.611268,1.625656,0.00453
138,158,1,58,138,0.295918,0.993711,0.731481,0.993711,0.268519,0.842667,0.608451,1.633182,0.005092
139,158,1,57,139,0.290816,0.993711,0.734884,0.993711,0.265116,0.84492,0.605634,1.640778,0.005296
140,158,1,56,140,0.285714,0.993711,0.738318,0.993711,0.261682,0.847185,0.602817,1.648445,0.005781
141,158,1,55,141,0.280612,0.993711,0.741784,0.993711,0.258216,0.849462,0.6,1.656184,0.00602
142,158,1,54,142,0.27551,0.993711,0.745283,0.993711,0.254717,0.851752,0.597183,1.663997,0.006967
143,158,1,53,143,0.270408,0.993711,0.748815,0.993711,0.251185,0.854054,0.594366,1.671883,0.007331
144,158,1,52,144,0.265306,0.993711,0.752381,0.993711,0.247619,0.856369,0.591549,1.679844,0.007841
145,158,1,51,145,0.260204,0.993711,0.755981,0.993711,0.244019,0.858696,0.588732,1.687882,0.008493
146,158,1,50,146,0.255102,0.993711,0.759615,0.993711,0.240385,0.861035,0.585915,1.695997,0.009834
147,158,1,49,147,0.25,0.993711,0.763285,0.993711,0.236715,0.863388,0.583099,1.70419,0.009901
148,158,1,48,148,0.244898,0.993711,0.76699,0.993711,0.23301,0.865753,0.580282,1.712463,0.010391
149,158,1,47,149,0.239796,0.993711,0.770732,0.993711,0.229268,0.868132,0.577465,1.720816,0.010412
150,158,1,46,150,0.234694,0.993711,0.77451,0.993711,0.22549,0.870523,0.574648,1.729251,0.011467
151,158,1,45,151,0.229592,0.993711,0.778325,0.993711,0.221675,0.872928,0.571831,1.73777,0.011921
152,158,1,44,152,0.22449,0.993711,0.782178,0.993711,0.217822,0.875346,0.569014,1.746373,0.013077
153,158,1,43,153,0.219388,0.993711,0.78607,0.993711,0.21393,0.877778,0.566197,1.755061,0.0144
154,158,1,42,154,0.214286,0.993711,0.79,0.993711,0.21,0.880223,0.56338,1.763836,0.015482
155,158,1,41,155,0.209184,0.993711,0.79397,0.993711,0.20603,0.882682,0.560563,1.7727,0.016566
156,158,1,40,156,0.204082,0.993711,0.79798,0.993711,0.20202,0.885154,0.557746,1.781653,0.018244
157,158,1,39,157,0.19898,0.993711,0.80203,0.993711,0.19797,0.88764,0.55493,1.790697,0.020589
158,158,1,38,158,0.193878,0.993711,0.806122,0.993711,0.193878,0.890141,0.552113,1.799833,0.020677
159,158,1,37,159,0.188776,0.993711,0.810256,0.993711,0.189744,0.892655,0.549296,1.809063,0.022653
160,158,1,36,160,0.183673,0.993711,0.814433,0.993711,0.185567,0.895184,0.546479,1.818388,0.02267
161,158,1,35,161,0.178571,0.993711,0.818653,0.993711,0.181347,0.897727,0.543662,1.82781,0.023636
162,158,1,34,162,0.173469,0.993711,0.822917,0.993711,0.177083,0.900285,0.540845,1.83733,0.02529
163,158,1,33,163,0.168367,0.993711,0.827225,0.993711,0.172775,0.902857,0.538028,1.846949,0.025828
164,158,1,32,164,0.163265,0.993711,0.831579,0.993711,0.168421,0.905444,0.535211,1.85667,0.028129
165,158,1,31,165,0.158163,0.993711,0.835979,0.993711,0.164021,0.908046,0.532394,1.866494,0.028715
