@relation Phishing.Detection

@attribute hostname string
 @attribute ipaddress {True,False}
 @attribute portNumber {True,False}
 @attribute protocol {http,https,other}
 @attribute domain_in_hostname {True,False}
 @attribute obfuscation_characters {True,False}
 @attribute subdomain_path {True,False}
 @attribute max_length integer
 @attribute phising {True,False}

 @data 
'signsuniqueinstallations.com',False,False,https,False,False,False,8,True
'www.moisesmieses.com',False,False,http,False,False,False,10,True
'appleid6.apple.com.rxpillsonline.net',False,False,http,True,False,False,7,True
'www.associatedct.com',False,False,http,False,False,False,8,True
'saad-madafaka.com',False,False,http,False,False,False,32,True
'saad-madafaka.com',False,False,http,False,False,False,14,True
'tuckertownforge.com',False,False,http,False,False,False,6,True
'gp.ugcwsm.ml',False,False,http,False,False,True,25,True
'tinyurl.com',False,False,http,False,False,False,0,True
'laurelfcu.org',False,False,http,False,False,False,13,True
'tr.im',False,False,http,False,False,False,0,True
'www.id-eu3.com',False,False,http,False,False,False,118,True
'www.hydrozen.pl',False,False,http,False,False,False,5,True
'thepowerpartners.us',False,False,http,False,False,True,32,True
'thepowerpartners.us',False,False,http,False,False,True,32,True
'acesso.cadastrosegurocaixa.org',False,False,http,False,False,False,8,True
'thepowerpartners.us',False,False,http,False,False,True,32,True
'thepowerpartners.us',False,False,http,False,False,True,32,True
'dockeep.net',False,False,http,False,False,False,7,True
'159.8.204.158',True,False,http,False,False,True,6,True
'chronos.com.ua',False,False,http,False,False,False,32,True
'citygarage.nl',False,False,http,False,False,False,6,True
'www.kingsolomonclothing.com',False,False,http,False,False,False,11,True
'astor-altenburg.de',False,False,http,False,False,False,32,True
'ingaweng.no',False,False,http,False,False,False,4,True
'fb.com.accounts.login.userid.500143.fbsbk.com',False,False,http,True,False,True,18,True
'info-ibu.com',False,False,http,False,False,False,3,True
'fb.com.accounts.login.userid.420780.fbsbk.com',False,False,http,True,False,True,18,True
'fb.com.accounts.login.userid.385430.fbsbk.com',False,False,http,True,False,True,18,True
'siouxcityexperts.com',False,False,http,False,False,False,8,True
'gilbertodepaz.com',False,False,http,False,True,False,22,True
'aaco.org.uk',False,False,http,False,False,False,11,True
'mail.trud7.md',False,False,http,False,False,False,10,True
'malabarcourt.com',False,False,http,False,False,False,11,True
'mizbanseo.com',False,False,http,False,False,False,7,True
'paykale.com',False,False,http,False,False,False,7,True
'paykale.com',False,False,http,False,False,False,7,True
